Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Number_of_vehicles_involved
18-30,male,junior high school,employee,above 10yr,bus,office areas,two-way (divided with broken lines road marking),y shape,gravel roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,unknown,employee,below 1yr,other,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,high school,employee,2-5yr,car,other,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,owner,1-2yr,car,other,two-way (divided with broken lines road marking),other,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,getting off the vehicle improperly,Slight Injury,2
over 51,male,elementary school,employee,2-5yr,car,other,double carriageway (median),no junction,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,other,Slight Injury,2
31-50,male,elementary school,owner,5-10yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,unknown,junior high school,employee,5-10yr,car,other,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overtaking,Slight Injury,2
18-30,male,high school,employee,5-10yr,lorry,industrial areas,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,rollover,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,car,church areas,undivided two way,no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,unknown,Slight Injury,2
31-50,unknown,junior high school,employee,2-5yr,other,hospital areas,undivided two way,o shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,elementary school,other,5-10yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,car,office areas,undivided two way,no junction,earth roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overtaking,Slight Injury,1
31-50,male,elementary school,employee,above 10yr,car,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,lorry,office areas,double carriageway (median),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,1
over 51,male,elementary school,employee,1-2yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,changing lane to the right,Serious Injury,1
31-50,male,junior high school,employee,above 10yr,other,other,two-way (divided with broken lines road marking),y shape,earth roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,lorry,industrial areas,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,changing lane to the left,Serious Injury,2
31-50,male,junior high school,employee,1-2yr,lorry,office areas,double carriageway (median),crossing,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,overturning,Serious Injury,2
over 51,unknown,elementary school,owner,2-5yr,car,office areas,other,crossing,asphalt roads,darkness - lights lit,normal,rollover,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,unknown,junior high school,employee,below 1yr,lorry,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,2
31-50,male,junior high school,employee,5-10yr,car,office areas,double carriageway (median),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,moving backward,Fatal injury,2
over 51,male,junior high school,employee,1-2yr,car,church areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,gravel roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,3
18-30,unknown,junior high school,employee,2-5yr,car,residential areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,driving carelessly,Slight Injury,2
over 51,male,junior high school,employee,above 10yr,car,church areas,other,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,other,other,two-way (divided with broken lines road marking),y shape,earth roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,unknown,employee,2-5yr,lorry,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,unknown,junior high school,employee,above 10yr,other,church areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overturning,Slight Injury,1
under 18,male,junior high school,employee,above 10yr,lorry,other,one way,no junction,asphalt roads,darkness - no lighting,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Serious Injury,1
31-50,unknown,elementary school,employee,5-10yr,other,residential areas,double carriageway (median),y shape,asphalt roads,darkness - lights unlit,normal,vehicle with vehicle collision,going straight,not a pedestrian,other,Slight Injury,3
31-50,male,elementary school,employee,5-10yr,other,church areas,other,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,moving backward,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,recreational areas,one way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,driving carelessly,Slight Injury,1
18-30,male,elementary school,employee,5-10yr,lorry,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,elementary school,employee,2-5yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,other,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,no priority to pedestrian,Slight Injury,3
18-30,male,junior high school,employee,2-5yr,lorry,other,other,other,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no priority to vehicle,Serious Injury,1
under 18,unknown,elementary school,employee,5-10yr,lorry,other,other,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,elementary school,employee,1-2yr,lorry,other,other,no junction,other,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,driving to the left,Slight Injury,1
18-30,male,junior high school,employee,1-2yr,car,church areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving to the left,Slight Injury,1
18-30,male,unknown,employee,5-10yr,car,office areas,double carriageway (median),no junction,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,driving carelessly,Slight Injury,1
under 18,male,junior high school,employee,5-10yr,other,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,moving backward,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,school areas,other,no junction,asphalt roads,darkness - no lighting,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Serious Injury,1
18-30,unknown,junior high school,employee,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),crossing,earth roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,high school,employee,below 1yr,lorry,office areas,undivided two way,crossing,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Serious Injury,2
31-50,male,junior high school,employee,unknown,car,other,undivided two way,crossing,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Serious Injury,2
under 18,male,junior high school,employee,below 1yr,lorry,other,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,driving carelessly,Serious Injury,1
18-30,male,junior high school,employee,5-10yr,lorry,church areas,other,y shape,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Slight Injury,1
18-30,unknown,unknown,owner,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,1
18-30,male,junior high school,employee,5-10yr,other,other,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,1
under 18,male,junior high school,owner,5-10yr,car,residential areas,undivided two way,crossing,asphalt roads,daylight,raining,vehicle with vehicle collision,stopping,not a pedestrian,other,Slight Injury,1
31-50,male,junior high school,employee,below 1yr,three_wheeler,other,other,y shape,asphalt roads,darkness - lights lit,normal,collision with pedestrians,going straight,not a pedestrian,overtaking,Slight Injury,2
18-30,male,elementary school,employee,2-5yr,lorry,school areas,double carriageway (median),no junction,earth roads,darkness - lights lit,raining and windy,vehicle with vehicle collision,going straight,not a pedestrian,driving to the left,Slight Injury,2
under 18,male,junior high school,employee,above 10yr,bus,residential areas,double carriageway (median),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,moving backward,not a pedestrian,no priority to pedestrian,Slight Injury,2
31-50,male,junior high school,owner,above 10yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
over 51,male,junior high school,employee,unknown,other,office areas,undivided two way,crossing,asphalt roads,darkness - no lighting,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,car,church areas,unknown,crossing,asphalt roads,darkness - no lighting,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving to the left,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,bus,office areas,two-way (divided with broken lines road marking),crossing,gravel roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,unknown or other,moving backward,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,other,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,raining,collision with pedestrians,going straight,not a pedestrian,moving backward,Slight Injury,2
31-50,unknown,elementary school,employee,2-5yr,lorry,residential areas,double carriageway (median),y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,other,Slight Injury,2
over 51,male,high school,owner,above 10yr,car,church areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,above high school,employee,5-10yr,car,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,car,other,other,crossing,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,car,church areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,other,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,1
31-50,male,junior high school,employee,below 1yr,other,other,one way,no junction,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,above high school,employee,5-10yr,other,office areas,undivided two way,y shape,other,daylight,normal,collision with pedestrians,moving backward,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,lorry,church areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
over 51,unknown,junior high school,employee,above 10yr,car,other,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,3
18-30,male,junior high school,employee,1-2yr,car,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,driving carelessly,Serious Injury,2
18-30,male,junior high school,owner,2-5yr,car,residential areas,other,no junction,asphalt roads,darkness - lights lit,raining,collision with roadside objects,going straight,not a pedestrian,getting off the vehicle improperly,Serious Injury,2
18-30,male,unknown,employee,unknown,three_wheeler,residential areas,two-way (divided with broken lines road marking),no junction,other,darkness - no lighting,windy,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
18-30,male,junior high school,owner,2-5yr,car,hospital areas,one way,no junction,asphalt roads,darkness - no lighting,windy,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,car,other,undivided two way,o shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,1
18-30,male,junior high school,employee,1-2yr,car,recreational areas,one way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,1
18-30,male,junior high school,employee,2-5yr,lorry,other,two-way (divided with broken lines road marking),crossing,other,darkness - lights lit,raining,collision with roadside objects,reversing,unknown or other,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,lorry,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - no lighting,raining,collision with pedestrians,going straight,crossing from driver's nearside,no priority to vehicle,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,lorry,other,undivided two way,crossing,asphalt roads,darkness - no lighting,raining,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Slight Injury,2
31-50,male,unknown,employee,unknown,bus,other,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,owner,1-2yr,car,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
over 51,male,high school,employee,1-2yr,bus,industrial areas,one way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,overtaking,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,residential areas,undivided two way,y shape,asphalt roads,darkness - lights lit,windy,collision with pedestrians,moving backward,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,high school,employee,1-2yr,car,recreational areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
31-50,unknown,junior high school,employee,2-5yr,lorry,office areas,other,y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,turnover,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,high school,employee,above 10yr,lorry,outside rural areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,raining,vehicle with vehicle collision,reversing,not a pedestrian,moving backward,Slight Injury,2
over 51,male,elementary school,employee,5-10yr,lorry,outside rural areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,reversing,not a pedestrian,changing lane to the left,Serious Injury,1
18-30,male,high school,employee,1-2yr,mootorbike,outside rural areas,undivided two way,y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,reversing,not a pedestrian,other,Serious Injury,2
18-30,male,high school,employee,2-5yr,lorry,school areas,other,y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Serious Injury,2
18-30,male,junior high school,employee,1-2yr,lorry,outside rural areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Serious Injury,2
over 51,male,above high school,employee,2-5yr,car,outside rural areas,two-way (divided with broken lines road marking),crossing,gravel roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,6
under 18,male,junior high school,employee,2-5yr,car,office areas,undivided two way,y shape,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,unknown or other,getting off the vehicle improperly,Slight Injury,2
18-30,unknown,high school,employee,2-5yr,car,office areas,undivided two way,o shape,asphalt roads,darkness - no lighting,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,other,other,two-way (divided with broken lines road marking),o shape,asphalt roads,darkness - no lighting,raining,vehicle with vehicle collision,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,unknown,junior high school,employee,5-10yr,car,residential areas,other,y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,other,other,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,3
31-50,male,junior high school,owner,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,raining,collision with roadside objects,going straight,not a pedestrian,moving backward,Slight Injury,3
18-30,female,high school,employee,1-2yr,car,church areas,other,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,driving carelessly,Serious Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,office areas,one way,y shape,other,daylight,raining,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,unknown,elementary school,employee,5-10yr,other,office areas,double carriageway (median),y shape,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,elementary school,employee,1-2yr,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,getting off the vehicle improperly,Slight Injury,2
18-30,male,elementary school,employee,5-10yr,lorry,other,unknown,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving under the influence of drugs,Slight Injury,2
18-30,unknown,junior high school,employee,2-5yr,car,office areas,two-way (divided with broken lines road marking),no junction,asphalt roads,darkness - lights lit,raining and windy,collision with roadside objects,moving backward,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,below 1yr,other,office areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,moving backward,not a pedestrian,moving backward,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,car,residential areas,two-way (divided with broken lines road marking),crossing,other,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,owner,5-10yr,lorry,school areas,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,raining,collision with roadside objects,turnover,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,overturning,Slight Injury,1
31-50,male,unknown,owner,5-10yr,car,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Serious Injury,2
18-30,male,above high school,employee,5-10yr,other,other,double carriageway (median),crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,other,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,2
18-30,unknown,junior high school,employee,below 1yr,car,office areas,double carriageway (median),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,elementary school,employee,5-10yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,1
18-30,male,elementary school,employee,2-5yr,lorry,office areas,unknown,y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,reversing,not a pedestrian,changing lane to the left,Slight Injury,1
31-50,unknown,junior high school,employee,1-2yr,car,office areas,one way,y shape,asphalt roads,darkness - lights lit,raining,collision with roadside objects,moving backward,not a pedestrian,changing lane to the left,Slight Injury,2
over 51,male,junior high school,employee,above 10yr,lorry,other,undivided two way,crossing,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
over 51,male,high school,employee,below 1yr,car,other,two-way (divided with broken lines road marking),crossing,asphalt roads,darkness - lights lit,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,lorry,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,1
31-50,male,junior high school,employee,above 10yr,lorry,other,undivided two way,y shape,asphalt roads,darkness - no lighting,normal,vehicle with vehicle collision,moving backward,not a pedestrian,overtaking,Serious Injury,2
over 51,male,elementary school,employee,2-5yr,car,church areas,double carriageway (median),crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Serious Injury,2
under 18,male,elementary school,other,5-10yr,bus,other,undivided two way,crossing,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,other,not a pedestrian,no priority to pedestrian,Serious Injury,2
18-30,male,junior high school,employee,above 10yr,lorry,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,turnover,not a pedestrian,changing lane to the left,Slight Injury,3
18-30,male,junior high school,other,below 1yr,lorry,industrial areas,undivided two way,crossing,asphalt roads,daylight,other,rollover,going straight,not a pedestrian,no distancing,Slight Injury,2
31-50,male,high school,owner,5-10yr,car,other,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,1
18-30,male,junior high school,employee,2-5yr,car,residential areas,undivided two way,no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,4
31-50,male,above high school,employee,5-10yr,car,residential areas,other,no junction,earth roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,no priority to pedestrian,Slight Injury,4
18-30,male,junior high school,employee,2-5yr,other,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,4
18-30,male,elementary school,employee,1-2yr,bus,other,undivided two way,y shape,asphalt roads,darkness - lights lit,cloudy,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,3
over 51,unknown,high school,employee,unknown,car,school areas,double carriageway (median),y shape,asphalt roads,darkness - lights lit,cloudy,vehicle with vehicle collision,stopping,not a pedestrian,changing lane to the left,Slight Injury,3
